"longitude ","latitude ","activity ","accuracy ","altitude ","velocity ","activity_timestampMs ","activity_confidence ","heading ","verticalAccuracy ","timestampMs ","userID "
21.7506445,38.2675460,STILL,39,,,1475007710500,92,,,1475007710360,1
21.7506061,38.2675551,STILL,36,,,1475031235003,100,,,1475031234883,1
21.7506409,38.2675317,STILL,40,,,1475040118892,41,,,1475040082889,1
21.7506453,38.2675307,STILL,40,,,1475040298949,82,,,1475040264907,1
21.7506643,38.2675393,STILL,37,,,1475040732450,46,,,1475040722889,1
21.7506106,38.2675308,STILL,38,,,1475040865170,92,,,1475040867704,1
21.7506387,38.2675344,STILL,39,,,1475040986992,74,,,1475041007615,1
21.7506387,38.2675344,STILL,39,,,1475041107993,92,,,1475041107932,1
21.7506283,38.2675174,STILL,40,,,1475041229075,100,,,1475041228896,1
21.7506283,38.2675174,STILL,40,,,1475041351080,100,,,1475041350946,1
21.7506283,38.2675162,STILL,40,,,1475042036251,100,,,1475042036062,1
21.7506399,38.2675273,STILL,40,,,1475044594176,100,,,1475044561951,1
21.7506470,38.2675363,STILL,40,,,1475044968556,100,,,1475044967686,1
21.7506638,38.2675414,STILL,41,,,1475045788744,100,,,1475045689735,1
21.7506585,38.2675383,STILL,40,,,1475046058451,100,,,1475046051388,1
21.7506585,38.2675383,STILL,40,,,1475046417227,100,,,1475046417218,1
21.7506233,38.2675131,STILL,40,,,1475049240094,100,,,1475049040942,1
21.7506467,38.2675151,STILL,26,,,1475050704315,100,,,1475050893164,1
21.7506330,38.2675352,STILL,39,,,1475051069222,100,,,1475050925796,1
21.7375981,38.2458170,STILL,31,,,1475053759391,52,,,1475053773628,1
21.7374266,38.2458281,STILL,32,,,1475053950586,58,,,1475053920864,1
21.7374167,38.2458091,STILL,51,,,1475054045572,48,,,1475054069961,1
21.7374167,38.2458091,STILL,51,,,1475054233277,80,,,1475054280053,1
21.7373805,38.2457872,STILL,48,,,1475054597385,100,,,1475054597246,1
21.7373616,38.2457780,STILL,46,,,1475054779037,77,,,1475054772927,1
21.7372524,38.2457873,STILL,42,,,1475060454076,100,,,1475060454747,1
21.7373790,38.2457914,STILL,48,,,1475060821018,42,,,1475060820919,1
